instrument,class,adduct,fragment,ParKey,ParValue
MS:1002523,11(12)-EET,[M-H]1-,m/z 301.2172,scale,0.109250277
MS:1002523,11(12)-EET,[M-H]1-,m/z 301.2172,sdlog,0.044861203
MS:1002523,11(12)-EET,[M-H]1-,m/z 301.2172,shift,250
MS:1002791,11(12)-EET,[M-H]1-,m/z 301.2172,meanlog,2.26191569
MS:1002791,11(12)-EET,[M-H]1-,m/z 301.2172,model,dlnormPar
MS:1002791,11(12)-EET,[M-H]1-,m/z 301.2172,scale,0.048851366
MS:1002791,11(12)-EET,[M-H]1-,m/z 301.2172,sdlog,0.658855102
MS:1002791,11(12)-EET,[M-H]1-,m/z 301.2172,shift,-4.799769656
MS:1002523,11(12)-EET,[M-H]1-,m/z 59.0139,meanlog,4.577872894
MS:1002523,11(12)-EET,[M-H]1-,m/z 59.0139,model,dlnormPar
MS:1002523,11(12)-EET,[M-H]1-,m/z 59.0139,scale,0.371758243
MS:1002523,11(12)-EET,[M-H]1-,m/z 59.0139,sdlog,0.224252519
MS:1002523,11(12)-EET,[M-H]1-,m/z 59.0139,shift,28.86008115
MS:1002791,11(12)-EET,[M-H]1-,m/z 59.0139,meanlog,4.499037514
MS:1002791,11(12)-EET,[M-H]1-,m/z 59.0139,model,dlnormPar
MS:1002791,11(12)-EET,[M-H]1-,m/z 59.0139,scale,0.965353784
MS:1002791,11(12)-EET,[M-H]1-,m/z 59.0139,sdlog,1.119650918
MS:1002791,11(12)-EET,[M-H]1-,m/z 59.0139,shift,-14.77884876
MS:1002523,11(12)-EET,[M-H]1-,precursor,meanlog,2.758436944
MS:1002523,11(12)-EET,[M-H]1-,precursor,model,dlnormPar
MS:1002523,11(12)-EET,[M-H]1-,precursor,scale,0.715777242
MS:1002523,11(12)-EET,[M-H]1-,precursor,sdlog,0.456501667
MS:1002523,11(12)-EET,[M-H]1-,precursor,shift,0.709491619
MS:1002791,11(12)-EET,[M-H]1-,precursor,meanlog,1.988407799
MS:1002791,11(12)-EET,[M-H]1-,precursor,model,dlnormPar
MS:1002791,11(12)-EET,[M-H]1-,precursor,scale,0.394128707
MS:1002791,11(12)-EET,[M-H]1-,precursor,sdlog,0.54421004
MS:1002791,11(12)-EET,[M-H]1-,precursor,shift,-2.16508864
MS:1002523,11(12)-EET{d11},[M-H]1-,m/z 149.0970,meanlog,5.691195431
MS:1002523,11(12)-EET{d11},[M-H]1-,m/z 149.0970,model,dlnormPar
MS:1002523,11(12)-EET{d11},[M-H]1-,m/z 149.0970,scale,0.074737879
MS:1002523,11(12)-EET{d11},[M-H]1-,m/z 149.0970,sdlog,0.05179708
MS:1002523,11(12)-EET{d11},[M-H]1-,m/z 149.0970,shift,250
MS:1002791,11(12)-EET{d11},[M-H]1-,m/z 149.0970,meanlog,5.520463647
MS:1002791,11(12)-EET{d11},[M-H]1-,m/z 149.0970,model,dlnormPar
MS:1002791,11(12)-EET{d11},[M-H]1-,m/z 149.0970,scale,0.082254469
MS:1002791,11(12)-EET{d11},[M-H]1-,m/z 149.0970,sdlog,0.06864174
MS:1002791,11(12)-EET{d11},[M-H]1-,m/z 149.0970,shift,210.4647173
MS:1002523,11(12)-EET{d11},[M-H]1-,m/z 167.1076,meanlog,5.63537854
MS:1002523,11(12)-EET{d11},[M-H]1-,m/z 167.1076,model,dlnormPar
MS:1002523,11(12)-EET{d11},[M-H]1-,m/z 167.1076,scale,0.332969756
MS:1002523,11(12)-EET{d11},[M-H]1-,m/z 167.1076,sdlog,0.049104172
MS:1002523,11(12)-EET{d11},[M-H]1-,m/z 167.1076,shift,250
MS:1002791,11(12)-EET{d11},[M-H]1-,m/z 167.1076,meanlog,3.595810988
MS:1002791,11(12)-EET{d11},[M-H]1-,m/z 167.1076,model,dlnormPar
MS:1002791,11(12)-EET{d11},[M-H]1-,m/z 167.1076,scale,0.317599741
MS:1002791,11(12)-EET{d11},[M-H]1-,m/z 167.1076,sdlog,0.241442018
MS:1002791,11(12)-EET{d11},[M-H]1-,m/z 167.1076,shift,18.59660266
MS:1002523,11(12)-EET{d11},[M-H]1-,m/z 179.1076,meanlog,5.599228225
MS:1002523,11(12)-EET{d11},[M-H]1-,m/z 179.1076,model,dlnormPar
MS:1002523,11(12)-EET{d11},[M-H]1-,m/z 179.1076,scale,0.168463148
MS:1002523,11(12)-EET{d11},[M-H]1-,m/z 179.1076,sdlog,0.046159005
MS:1002523,11(12)-EET{d11},[M-H]1-,m/z 179.1076,shift,250
MS:1002791,11(12)-EET{d11},[M-H]1-,m/z 179.1076,meanlog,2.936886991
